Name,Calories,Protein,Carbohydrates,Fats,Category
Oatmeal,158,4,27,3.2,1
Grilled Chicken Breast,165,31,0,3.6,2
Salmon,206,22,0,12,3
Almonds,162,6,6,14,4
Greek Yogurt,100,17,6,0.7,1
Turkey Sandwich,350,25,35,9,2
Steak,679,62,0,48,3
Nuts,175,5,6,16,4
Scrambled Eggs,91,6,1,7,1
Quinoa Salad,222,8,39,4,2
Grilled Salmon,367,39,0,22,3
Apple Slices,95,0,25,0,4
Whole Wheat Toast,75,3,14,1,1
Lentil Soup,258,18,37,7,2
Banana Pancakes,350,8,60,8,1
Tuna Salad,200,25,10,7,2
Roast Beef,210,22,0,11,3
Dark Chocolate,155,2,17,9,4
Avocado Toast,240,5,23,15,1
Pasta Primavera,365,14,53,10,2
Pork Chop,260,35,0,14,3
Granola Bar,120,3,20,4,4
French Toast,149,6,15,7,1
Vegetable Stir Fry,180,5,35,4,2
Blueberry Muffin,375,5,67,11,1
Chicken Caesar Salad,470,40,10,30,2
Lamb Chops,400,30,0,30,3
Pretzels,108,2.8,22.5,0.8,4
Cottage Cheese,206,28,6.2,8.2,1
Sushi Roll,300,6,48,8,2
Duck Confit,403,27,0,33,3
Popcorn,31,1,6,0,4
Bagel with Cream Cheese,450,11,55,22,1
Tomato Soup,192,5,25,9,2
Chia Seed Pudding,210,4,17,14,1
Lentil Burger,400,18,40,10,2
Grilled Shrimp,120,23,0,2,3
Trail Mix,693,20,64,44,4
Smoothie Bowl,370,6,75,8,1
Chicken Wrap,290,24,24,10,2
Baked Cod,189,41,0,1,3
Yogurt Parfait,150,10,20,2,4
Omelette,154,11,2,12,1
Veggie Pizza,285,12,36,10,2
Pork Ribs,330,28,0,24,3
Cheese Cubes,110,7,1,9,4
Protein Shake,220,30,9,2,1
Falafel Plate,330,13,31,17,2
Roasted Turkey,135,25,0,2,3
Spinach Salad,150,5,10,10,1
Meatball Sub,480,20,45,22,2
Grilled Tofu,70,8,2,4,3
Cheese Crackers,150,3,18,8,4
Fruit Smoothie,200,2,50,1,1
Turkey Chili,240,17,30,7,2
Baked Trout,210,30,0,8,3
Rice Cakes,35,1,7,0,4
Egg White Omelette,100,20,1,0,1
Veggie Burger,124,10,9,4,2
Roasted Chicken,220,25,0,10,3
Chocolate Pudding,120,2,24,3,4
Protein Bar,200,20,18,5,1
Stuffed Peppers,150,6,16,6,2
Pork Loin,190,29,0,7,3
Fruit Salad,120,1,30,0,4
Greek Salad,200,8,10,15,1
Fish Tacos,300,25,35,10,2
Roast Duck,400,52,0,28,3
Nut Mix,180,5,15,14,4
Overnight Oats,215,6,39,4,1
Chicken Salad,350,30,10,20,2
Grilled Mahi Mahi,145,30,0,1,3
Rice Crisps,105,2,22,0.5,4
Breakfast Burrito,300,15,35,15,1
Beef Stew,235,20,15,10,2
Pork Tenderloin,220,31,0,9,3
Cheese Puffs,160,2,15,10,4
Protein Pancakes,250,20,30,5,1
Shrimp Pasta,400,25,50,10,2
Roasted Duck Breast,240,52,0,1,3
Chocolate Chip Cookies,160,2,20,8,4
Egg Salad,140,6,1,10,1
Spaghetti Bolognese,320,14,40,12,2
Grilled Swordfish,200,22,0,12,3
Peanut Butter Crackers,190,5,22,9,4
